,Date,Open,Close,Volume,MACD,RSI,EFFR,UNRATE,USDX,VIX
1,12/31/20,134.080002,132.690002,99116600,3.463558532,63.55865138,0.09,6.7,89.610001,22.99
1,1/1/21,134.080002,132.690002,99116600,3.348979503,63.55865138,0.09,6.3,89.610001,22.99
1,1/2/21,134.080002,132.690002,99116600,3.2210446,63.55865138,0.09,6.3,89.610001,22.99
1,1/3/21,134.080002,132.690002,99116600,3.084103641,63.55865138,0.09,6.3,89.610001,22.99
1,1/4/21,133.520004,129.410004,143301900,2.89699503,61.41901502,0.09,6.3,89.93,23.040001
1,1/5/21,128.889999,131.009995,97664900,2.348040648,47.25484063,0.09,6.3,89.900002,26.940001
1,1/6/21,127.720001,126.599998,155088000,1.797856712,44.46430079,0.09,6.3,89.480003,25.48
1,1/7/21,128.360001,130.919998,109578200,1.397366657,46.33129337,0.09,6.3,89.32,23.67
1,1/8/21,132.429993,132.050003,105158200,1.392339717,56.37518863,0.09,6.3,89.830002,22.43
1,1/9/21,132.429993,132.050003,105158200,1.372534113,56.37518863,0.09,6.3,89.830002,22.43
1,1/10/21,132.429993,132.050003,105158200,1.341375486,56.37518863,0.09,6.3,89.830002,22.43
1,1/11/21,129.190002,128.979996,100384500,1.043216307,47.53092619,0.09,6.3,90.07,23.309999
1,1/12/21,128.5,128.800003,91951100,0.74268441,45.88014458,0.09,6.3,90.519997,23.49
1,1/13/21,128.759995,130.889999,88636800,0.519501649,46.63227195,0.09,6.3,90,23.07
1,1/14/21,130.800003,128.910004,90221800,0.501458795,52.24073603,0.09,6.3,90.279999,22.219999
1,1/15/21,128.779999,127.139999,111598500,0.320468105,46.97633024,0.09,6.3,90.220001,23.52
1,1/16/21,128.779999,127.139999,111598500,0.175014224,46.97633024,0.09,6.3,90.220001,23.52
1,1/17/21,128.779999,127.139999,111598500,0.059060167,46.97633024,0.09,6.3,90.220001,23.52
1,1/18/21,128.779999,127.139999,111598500,-0.03246008,46.97633024,0.09,6.3,90.220001,23.52
1,1/19/21,127.779999,127.830002,90757300,-0.18356614,44.02239965,0.09,6.3,90.730003,23.030001
1,1/20/21,128.660004,132.029999,104319500,-0.229662329,47.17062968,0.09,6.3,90.410004,22.82
1,1/21/21,133.800003,136.869995,120150900,0.146868068,60.97596432,0.08,6.3,90.419998,21.34
1,1/22/21,136.279999,139.070007,114459400,0.638031245,65.64128069,0.08,6.3,90.050003,22.24
1,1/23/21,136.279999,139.070007,114459400,1.015574688,65.64128069,0.08,6.3,90.050003,22.24
1,1/24/21,136.279999,139.070007,114459400,1.299797332,65.64128069,0.08,6.3,90.050003,22.24
1,1/25/21,143.070007,142.919998,157611700,2.049319446,75.61154327,0.08,6.3,90.230003,22.309999
1,1/26/21,143.600006,143.160004,98390600,2.655476926,76.19227685,0.08,6.3,90.389999,23.91
1,1/27/21,143.429993,142.059998,140843800,3.086562496,75.57063896,0.08,6.3,90.150002,23.82
1,1/28/21,139.520004,137.089996,142621100,3.077225146,62.86701925,0.08,6.3,90.730003,33.25
1,1/29/21,135.830002,131.960007,177523800,2.740482331,53.69357439,0.08,6.3,90.559998,35.16
1,1/30/21,135.830002,131.960007,177523800,2.445421922,53.69357439,0.08,6.3,90.559998,35.16
1,1/31/21,135.830002,131.960007,177523800,2.186381181,53.69357439,0.08,6.3,90.559998,35.16
1,2/1/21,133.75,134.139999,106239800,1.792586924,48.69146037,0.08,6.2,90.529999,31.450001
1,2/2/21,135.729996,134.990005,83305400,1.621578717,53.16439592,0.08,6.2,91,28.01
1,2/3/21,135.759995,133.940002,89880900,1.471511481,53.23092154,0.08,6.2,91.050003,24.59
1,2/4/21,136.300003,137.389999,84183100,1.380245636,54.48421552,0.08,6.2,91.089996,23.440001
1,2/5/21,137.350006,136.759995,75693800,1.376772684,56.90257308,0.08,6.2,91.489998,21.99
1,2/6/21,137.350006,136.759995,75693800,1.358361993,56.90257308,0.08,6.2,91.489998,21.99
1,2/7/21,137.350006,136.759995,75693800,1.328457754,56.90257308,0.08,6.2,91.489998,21.99
1,2/8/21,136.029999,136.910004,71297200,1.184589684,52.52098928,0.07,6.2,91,21.889999
1,2/9/21,136.619995,136.009995,76774200,1.105438145,54.21787532,0.08,6.2,90.910004,21.57
1,2/10/21,136.479996,135.389999,73046600,1.019659234,53.72718706,0.08,6.2,90.489998,21.639999
1,2/11/21,135.899994,135.130005,64280000,0.89456552,51.64195178,0.08,6.2,90.459999,22.09
1,2/12/21,134.350006,135.369995,60145100,0.66271738,46.45322978,0.08,6.2,90.410004,21.6
1,2/13/21,134.350006,135.369995,60145100,0.473517641,46.45322978,0.08,6.2,90.410004,21.6
1,2/14/21,134.350006,135.369995,60145100,0.319888016,46.45322978,0.08,6.2,90.410004,21.6
1,2/15/21,134.350006,135.369995,60145100,0.195877477,46.45322978,0.08,6.2,90.410004,21.6
1,2/16/21,135.490005,133.190002,80576300,0.187426092,51.29441184,0.08,6.2,90.290001,21.129999
1,2/17/21,131.25,130.839996,97918500,-0.15956529,37.65749613,0.08,6.2,90.709999,22.02
1,2/18/21,129.199997,129.710007,96856700,-0.59313923,33.07855145,0.07,6.2,90.900002,21.98
