Date,Close,Volume,ma7,ma21,26ema,12ema,MACD,momentum,pos,neg,neu,SNP,PFE,JNJ,BMY,VTRS,AMGN,NYSE,NASDAQ,FT6,FT9,ARIMA
3/3/20,75.505722,17394599,75.88331471,78.92766276,79.10683527,77.01354617,-2.0932891,74.505722,0,0,1,3003.370117,30.16622543,128.7511139,55.57148361,15.91893196,192.6700897,12542.74023,8684.089844,68.78988552,74.12056695,77.80878973
3/4/20,79.169846,20224199,76.10686914,78.72909833,79.11150273,77.3452846,-1.766218126,78.169846,0.48562594,0.473217156,0.041156914,3130.120117,32.01313782,136.2431488,57.71173859,16.44663048,202.7456512,13009.95996,9018.089844,68.59568054,73.88346523,75.29333628
3/5/20,77.843513,15017840,76.28544057,78.42102843,79.01757757,77.42193513,-1.595642438,76.843513,0,0,1,3023.939941,31.18642235,134.84729,56.79180145,15.6648531,199.9275055,12593.03027,8738.589844,68.40081698,73.64408443,79.24087841
3/6/20,78.435112,14208574,76.59351014,78.25608819,78.97443197,77.57780849,-1.396623476,77.435112,0,0,1,2972.370117,30.79945564,134.866272,56.6134491,15.04920292,198.5419922,12352.03027,8575.620117,68.20530854,73.4024518,77.72959211
3/9/20,75.343513,18942810,76.713467,77.9507449,78.70547501,77.23407072,-1.471404283,74.343513,0.057984561,0.114822701,0.827192724,2746.560059,29.69131088,129.558197,54.12587357,14.05243778,186.9678345,11298.42969,7950.680176,68.00916899,73.15859516,78.30191038
3/10/20,78.263359,17527486,77.45774171,77.81170462,78.67272567,77.39242277,-1.280302907,77.263359,0.158476293,0.012948561,0.828575134,2882.22998,30.421278,134.4959412,54.37932587,14.73649216,194.9132996,11793.26953,8344.25,67.81241214,72.91254289,75.48080694
3/11/20,75.620232,14274179,77.16875671,77.52044705,78.44661503,77.11977803,-1.326836998,74.620232,0.008751136,0.972031891,0.019217027,2741.379883,28.2929306,125.1522675,53.04636002,14.14038849,187.2317657,11177.29004,7952.049805,67.61505185,72.66432394,78.09017586
3/12/20,71.040077,22664782,76.53080743,77.02971638,77.89798258,76.18443941,-1.713543171,70.040077,0.038033914,0.684684403,0.277281707,2480.639893,26.4020443,119.0845642,49.51682281,12.95795155,171.7649841,10060.75977,7201.799805,67.417102,72.41396779,75.81577829
3/13/20,73.234734,25857094,75.68293429,76.73436948,77.55255676,75.73063858,-1.821918183,72.234734,0.019145235,0.958866954,0.021987828,2711.02002,28.76785469,127.5166702,51.61952209,14.70717621,190.4834442,10851.74023,7874.879883,67.21857655,72.16150448,71.13385997
3/16/20,66.71756,20808354,74.09351243,76.18684129,76.74996441,74.34401111,-2.405953304,65.71756,0.007743768,0.973012447,0.019243786,2386.129883,26.54275894,120.717804,47.97734451,14.69740486,177.8348083,9567.530273,6904.589844,67.01948946,71.90696458,73.53346456
